set,algorithm,id,size,time
Alpha,Improved,341,1302,26.83e-06
Alpha,Improved,342,1302,21.58e-06
Alpha,Improved,343,1302,50.98e-06
Alpha,Improved,344,1302,39.34e-06
Alpha,Improved,345,1302,4.24e-06
Alpha,Generated,346,1302,58.52e-06
Alpha,Generated,347,1302,110.76e-06
Alpha,Generated,348,1302,71.17e-06
Alpha,Generated,349,1302,69.90e-06
Alpha,Generated,350,1302,13.66e-06
Alpha,Improved,346,1302,36.68e-06
Alpha,Improved,347,1302,78.36e-06
Alpha,Improved,348,1302,42.08e-06
Alpha,Improved,349,1302,47.18e-06
Alpha,Improved,350,1302,4.11e-06
Alpha,Generated,351,1402,124.78e-06
Alpha,Generated,352,1402,145.75e-06
Alpha,Generated,353,1402,83.81e-06
Alpha,Generated,354,1402,174.98e-06
Alpha,Generated,355,1402,167.62e-06
Alpha,Improved,351,1402,89.35e-06
Alpha,Improved,352,1402,103.36e-06
Alpha,Improved,353,1402,55.55e-06
Alpha,Improved,354,1402,130.08e-06
Alpha,Improved,355,1402,119.27e-06
Alpha,Generated,356,1402,120.35e-06
Alpha,Generated,357,1402,116.23e-06
Alpha,Generated,358,1402,122.84e-06
Alpha,Generated,359,1402,345.50e-06
Alpha,Generated,360,1402,174.17e-06
Alpha,Improved,356,1402,168.69e-06
Alpha,Improved,357,1402,153.62e-06
Alpha,Improved,358,1402,167.70e-06
Alpha,Improved,359,1402,309.75e-06
Alpha,Improved,360,1402,117.26e-06
Alpha,Generated,361,1402,143.81e-06
Alpha,Generated,362,1402,93.62e-06
Alpha,Generated,363,1402,19.93e-06
Alpha,Generated,364,1402,92.23e-06
Alpha,Generated,365,1402,63.64e-06
Alpha,Improved,361,1402,101.88e-06
Alpha,Improved,362,1402,62.36e-06
Alpha,Improved,363,1402,8.12e-06
Alpha,Improved,364,1402,62.62e-06
Alpha,Improved,365,1402,38.94e-06
Alpha,Generated,366,1402,100.93e-06
Alpha,Generated,367,1402,125.09e-06
